Institution Address,Latitude,Longitude
551 Conlins Rd,43.803588,-79.1890428
825 Coxwell Ave,43.6901603,-79.3250179
2920 Lawrence Ave E,43.754805,-79.2519141
3555 Danforth Ave,43.6940141,-79.2750795
19 Rean Dr,43.7671965,-79.382324
67 Belgreen Ave,43.795213,-79.2903346
2 Buchan Crt,43.772881,-79.3598592
429 Walmer Rd,43.6855283,-79.4123728
1 Bridgepoint Dr,43.6663173,-79.3553372
3276 St Clair Ave E,43.7122483,-79.2849702
82 Buttonwood Ave,43.6894873,-79.5071891
2075 Bayview Ave,43.7220178,-79.3722543
495 The West Mall,43.6481704,-79.567676
40 Bell Estate Rd,43.7057315,-79.2772767
130 Midland Ave,43.708473,-79.2480091
30 The Queensway,43.6394576,-79.4507928
1195 Queen St E,43.6626105,-79.3311041
1860 Lawrence Ave E,43.744055,-79.3032714
1955 Steeles Ave E,43.807822,-79.3728202
5351 Yonge St,43.7757233,-79.414132
1 Overland Dr,43.7325001,-79.3466607
795 Eglinton Ave E,43.7130454,-79.3661511
685 Finch Ave W,43.770422,-79.4568975
1145 Albion Rd,43.7372418,-79.5675336
30 Bond St,43.6536408,-79.3778068
140 Sherway Dr,43.6100693,-79.5620854
200 Dawes Rd,43.695767,-79.2986231
4180 Dundas St W,43.6611089,-79.5100508
17 Maplewood Ave,43.6859224,-79.4217058
4001 Leslie St,43.7691855,-79.3625797
645 Castlefield Ave,43.7062275,-79.4252815
880 Lawrence Ave E,43.7363826,-79.3487254
25 Centennial Park Rd,43.6532498,-79.5820139
148 Markham Rd,43.740884,-79.2187095
3560 Bathurst St,43.7302646,-79.4340919
2030 McNicoll Ave,43.8130315,-79.3000348
205 Cummer Ave,43.7881335,-79.4073951
285 Cummer Ave,43.787308,-79.4042741
200 Elizabeth St,43.6585958,-79.3881616
102 Craiglee Dr,43.706943,-79.2531911
4251 Dundas St W,43.6588743,-79.5143047
600 Melita Cres,43.6731367,-79.4224491
866 Sheppard Ave W,43.7524034,-79.4539034
92 Island Rd,43.7988385,-79.1399784
351 Christie St,43.673349,-79.4211379
45 Brunswick Ave,43.6587983,-79.4039232
2233 Kipling Ave,43.7250757,-79.5714044
420 The East Mall,43.64737,-79.5605707
33 Christie St,43.6647926,-79.4185841
450 Rustic Rd,43.7175812,-79.4822619
95 Humber College Blvd,43.7271399,-79.5967742
"4005 Eglinton Ave W - 2nd, 7th, 8th & 9th Fl",,
40 Old Kingston Rd,43.7755215,-79.183151
77 Main St,,
47 Austin Terr,43.6775624,-79.4155711
2701 St Clair Ave E,43.7053205,-79.3120308
