_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Year,month,Active Status,Duration
1,Extendicare Rouge Valley,551 Conlins Rd,Ltch,Respiratory,Influenza A (H3N2),Unknown,2016-12-31,2017-01-20,2016,2016-12,Resolved,20.0
2,Michael Garron Hospital - H6,825 Coxwell Ave,Hospital-Acute Care,Enteric,Norovirus-like,Unknown,2016-12-30,2017-01-04,2016,2016-12,Resolved,5.0
3,Bendale Acres - 3rd Fl,2920 Lawrence Ave E,Ltch,Respiratory,Respiratory syncytial virus,Unknown,2016-12-30,2017-01-13,2016,2016-12,Resolved,14.0
4,Chester Village - 3rd Fl - Ruby & 4th Fl - Emerald,3555 Danforth Ave,Ltch,Respiratory,Metapneumovirus,Unknown,2016-12-30,2017-01-20,2016,2016-12,Resolved,21.0
5,Amica At Bayview Gardens,19 Rean Dr,Retirement Home,Respiratory,Influenza A (H3),Unknown,2016-12-30,2017-01-20,2016,2016-12,Resolved,21.0
6,Bethsheda Home,67 Belgreen Ave,Retirement Home,Respiratory,Influenza A (H3),Unknown,2016-12-30,2017-01-12,2016,2016-12,Resolved,13.0
7,Seniors' Health Centre - 1st Fl,2 Buchan Crt,Retirement Home,Enteric,Unable to identify,Unknown,2016-12-30,2017-01-04,2016,2016-12,Resolved,5.0
8,Seniors Health Centre - 1st Fl,2 Buchan Crt,Ltch,Respiratory,Influenza A (Not subtyped),"Coronavirus, Rhinovirus",2016-12-30,2017-01-25,2016,2016-12,Resolved,26.0
9,Cedarvale Terrace,429 Walmer Rd,Ltch,Respiratory,Respiratory syncytial virus,Unknown,2016-12-30,2017-01-13,2016,2016-12,Resolved,14.0
10,Bridgepoint Active Healthcare - 6 South & 7 North,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Influenza A (H3),Unknown,2016-12-29,2017-01-11,2016,2016-12,Resolved,13.0
11,Providence Healthcare - A3 South & North Wing,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A (H3),Unknown,2016-12-29,2017-01-09,2016,2016-12,Resolved,11.0
12,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,Unknown,2016-12-29,2017-01-02,2016,2016-12,Resolved,4.0
13,Sunnybrook Health Sciences Centre - K2C & K2W,2075 Bayview Ave,Ltch,Respiratory,Influenza A (H3N2),Unknown,2016-12-29,2017-01-11,2016,2016-12,Resolved,13.0
